MMM,2024-02-27 15:32:59.084628,50748916000,None,-12.63,-0.711
AOS,2024-02-27 15:33:02.455132,12009640000,22.11,3.69,0.31
ABT,2024-02-27 15:33:03.020150,205948518000,36.41,3.26,0.151
ABBV,2024-02-27 15:33:06.386802,316922397000,65.96,2.72,0.352
ACN,2024-02-27 15:33:10.968717,236676940000,34.98,10.79,0.274
ATVI,2024-02-27 15:33:16.275523,,,,
ADM,2024-02-27 15:33:19.703805,28359866000,7.39,7.19,0.158
ADBE,2024-02-27 15:33:21.151353,253336945000,47.38,11.83,0.355
AAP,2024-02-27 15:33:22.035084,3590351000,17.54,3.44,0.0766
AMD,2024-02-27 15:33:22.597540,285219258000,333.06,0.53,0.0154
AES,2024-02-27 15:33:23.012149,10714064000,None,-0.84,-0.0787
AFL,2024-02-27 15:33:24.264832,46104773000,10.24,7.78,0.221
A,2024-02-27 15:33:26.045782,38531830000,31.38,4.19,0.222
APD,2024-02-27 15:33:29.393738,50986955000,21.95,10.45,0.155
AKAM,2024-02-27 15:33:31.020281,16333669000,30.73,3.52,0.122
ALK,2024-02-27 15:33:31.447137,4754854000,20.61,1.83,0.0593
ALB,2024-02-27 15:33:33.287385,14266812000,9.1,13.36,0.187
ARE,2024-02-27 15:33:33.674956,21330921000,225.8,0.54,0.0124
ALGN,2024-02-27 15:33:34.255295,23806958000,53.5,5.81,0.123
ALLE,2024-02-27 15:33:34.710147,11302397000,21.09,6.12,0.478
LNT,2024-02-27 15:33:35.109098,12472070000,17.52,2.78,0.108
ALL,2024-02-27 15:33:35.705156,42038108000,None,-1.19,-0.0122
GOOGL,2024-02-27 15:33:36.120005,1717093794000,23.68,5.81,0.274
GOOG,2024-02-27 15:33:36.641438,1797324407000,25.05,5.8,0.274
MO,2024-02-27 15:33:37.058164,71790453000,8.91,4.57,0
AMZN,2024-02-27 15:33:37.453987,1814990291000,60.25,2.9,0.175
AMCR,2024-02-27 15:33:37.849357,13398303000,21.07,0.44,0.155
AEE,2024-02-27 15:33:38.270613,18862029000,16.17,4.38,0.105
AAL,2024-02-27 15:33:38.668401,10004687000,12.63,1.21,0
AEP,2024-02-27 15:33:39.088279,42475004000,18.53,4.36,0.0906
AXP,2024-02-27 15:33:39.739289,157050847000,19.34,11.22,0.317
AIG,2024-02-27 15:33:40.150538,48565637000,14.32,4.98,0.0819
AMT,2024-02-27 15:33:40.560582,87508492000,125.15,1.5,0.0541
AWK,2024-02-27 15:33:40.969429,22870082000,23.97,4.9,0.108
AMP,2024-02-27 15:33:41.446833,40830472000,17.19,23.69,0.599
ABC,2024-02-27 15:33:41.868307,,,,
AME,2024-02-27 15:33:42.261829,41325912000,31.55,5.67,0.162
AMGN,2024-02-27 15:33:42.707028,154977059000,23.15,12.49,1.358
APH,2024-02-27 15:33:43.102950,64844321000,34.76,3.11,0.251
ADI,2024-02-27 15:33:43.498353,94277067000,33.89,5.61,0.0781
ANSS,2024-02-27 15:33:43.892280,29265828000,58.69,5.73,0.0976
ANTM,2024-02-27 15:33:44.272339,,,,
AON,2024-02-27 15:33:44.706729,62350840000,25.11,12.52,0.576
APA,2024-02-27 15:33:45.113590,9055636000,3.247,9.25,1.274
AAPL,2024-02-27 15:33:45.530212,2797454492000,28.17,6.43,1.543
AMAT,2024-02-27 15:33:45.924353,169366225000,23.92,8.51,0.464
APTV,2024-02-27 15:33:46.331759,21630870000,7.46,10.39,0.283
ANET,2024-02-27 15:33:46.748750,86066577000,41.84,6.58,0.345
AJG,2024-02-27 15:33:47.148343,52907872000,55.34,4.41,0.0966
AIZ,2024-02-27 15:33:47.540971,9300872000,14.97,11.95,0.142
T,2024-02-27 15:33:47.957873,118736314000,8.43,1.97,0.138
ATO,2024-02-27 15:33:48.357400,17008719000,18.01,6.26,0.0877
ADSK,2024-02-27 15:33:48.756626,55051031000,60.55,4.25,0.768
ADP,2024-02-27 15:33:49.194891,104156062000,29.48,8.6,0.974
AZO,2024-02-27 15:33:49.598769,47662359000,20.04,137.54,0
AVB,2024-02-27 15:33:50.011515,24658379000,26.47,6.56,0.0806
AVY,2024-02-27 15:33:50.419219,17253820000,34.62,6.19,0.242
BKR,2024-02-27 15:33:50.896760,30125533000,15.65,1.91,0.131
BLL,2024-02-27 15:33:51.847256,,,,
BAC,2024-02-27 15:33:52.816658,264600109000,10.91,3.08,0.0939
BBWI,2024-02-27 15:33:53.208142,10506256000,14.81,3.14,0
BAX,2024-02-27 15:33:53.625507,21608038000,None,-0.15,-0.0096
BDX,2024-02-27 15:33:54.030833,69833392000,55.57,4.35,0.0513
BRK.B,2024-02-27 15:33:54.422498,,,,
BBY,2024-02-27 15:33:54.816481,16467024000,13.2,5.79,0.44
BIO,2024-02-27 15:33:55.208362,9643850000,None,-21.83,-0.0694
TECH,2024-02-27 15:33:55.611789,11303677000,51.73,1.39,0.118
BIIB,2024-02-27 15:33:55.995331,32518709000,28.1,7.96,0.0824
BLK,2024-02-27 15:33:56.705160,120818123000,22.27,36.53,0.142
BK,2024-02-27 15:33:57.163049,42249900000,13.91,4,0.0826
BA,2024-02-27 15:33:58.327732,122356466000,None,-3.67,0
BKNG,2024-02-27 15:33:59.894872,120383005000,29.85,117.24,2.257
BWA,2024-02-27 15:34:00.297545,6987610000,11.26,2.7,0.103
BXP,2024-02-27 15:34:00.708686,10205872000,53.74,1.21,0.0352
BSX,2024-02-27 15:34:01.117942,97811554000,62.31,1.07,0.0858
BMY,2024-02-27 15:34:01.549715,102161039000,13.09,3.86,0.265
AVGO,2024-02-27 15:34:01.970208,612857414000,39.75,32.93,0.603
BR,2024-02-27 15:34:02.394042,23724581000,35.09,5.74,0.355
BRO,2024-02-27 15:34:02.767485,24021658000,27.56,3.05,0.171
BF.B,2024-02-27 15:34:03.698674,,,,
CHRW,2024-02-27 15:34:07.166277,8583306000,27.0,2.72,0.235
CDNS,2024-02-27 15:34:13.085017,82676269000,79.29,3.83,0.339
CZR,2024-02-27 15:34:14.313847,9008895000,11.44,3.64,0.196
CPB,2024-02-27 15:34:15.435830,12573858000,15.98,2.64,0.22
COF,2024-02-27 15:34:15.847850,51156365000,11.24,11.96,0.0883
CAH,2024-02-27 15:34:16.355119,26821300000,43.59,2.53,0
KMX,2024-02-27 15:34:16.868407,11679836000,23.63,3.13,0.0864
CCL,2024-02-27 15:34:17.381898,19306818000,None,-0.06,-0.0106
CARR,2024-02-27 15:34:17.797910,48682344000,34.3,1.58,0.169
CTLT,2024-02-27 15:34:18.210778,10547870000,None,-7.18,-0.303
CAT,2024-02-27 15:34:18.842637,162487288000,16.18,20.11,0.584
CBOE,2024-02-27 15:34:19.254093,20754254000,27.53,7.14,0.204
CBRE,2024-02-27 15:34:19.635644,27497355000,28.56,3.15,0.116
CDW,2024-02-27 15:34:20.013144,32984969000,30.4,8.1,0.606
CE,2024-02-27 15:34:20.430828,16350058000,8.34,18,0.289
CNC,2024-02-27 15:34:20.842865,42912059000,16.21,4.95,0.107
CNP,2024-02-27 15:34:21.238362,17242544000,19.93,1.37,0.0931
CDAY,2024-02-27 15:34:21.645157,,,,
CERN,2024-02-27 15:34:22.103211,,,,
CF,2024-02-27 15:34:22.508244,15149909000,10.22,7.87,0.227
CRL,2024-02-27 15:34:22.895428,12814856000,27.1,9.21,0.144
SCHW,2024-02-27 15:34:23.635785,117489435000,25.35,2.54,0.131
CHTR,2024-02-27 15:34:24.185918,43483267000,9.98,30,0.386
CVX,2024-02-27 15:34:24.584774,285886939000,13.58,11.37,0.131
CMG,2024-02-27 15:34:25.024247,72952734000,59.88,44.43,0.453
CB,2024-02-27 15:34:25.449421,103403626000,11.7,21.79,0.158
CHD,2024-02-27 15:34:25.883149,24480086000,32.92,3.05,0.206
CI,2024-02-27 15:34:26.288282,100691575000,19.42,17.73,0.118
CINF,2024-02-27 15:34:26.684659,17711170000,9.68,11.66,0.163
CTAS,2024-02-27 15:34:27.071483,64263131000,45.94,13.8,0.386
CSCO,2024-02-27 15:34:27.464642,195980804000,14.71,3.29,0.306
C,2024-02-27 15:34:27.897566,105813443000,13.7,4.04,0.046
CFG,2024-02-27 15:34:28.310802,13937037000,9.71,3.13,0.067
CTXS,2024-02-27 15:34:28.700776,,,,
CLX,2024-02-27 15:34:29.120201,18741246000,239.7,0.63,0.262
CME,2024-02-27 15:34:29.503381,78996865000,24.74,8.87,0.12
CMS,2024-02-27 15:34:29.944861,16989420000,19.17,3.01,0.103
KO,2024-02-27 15:34:30.515792,261809422000,24.58,2.47,0.402
CTSH,2024-02-27 15:34:30.933630,39583416000,18.89,4.21,0.167
CL,2024-02-27 15:34:31.328596,70914458000,31.1,2.77,2.785
CMCSA,2024-02-27 15:34:31.753241,166420939000,11.29,3.71,0.182
CMA,2024-02-27 15:34:32.206940,6459045000,7.6,6.44,0.152
CAG,2024-02-27 15:34:32.802918,13388920000,13.66,2.05,0.111
COP,2024-02-27 15:34:33.271577,132252008000,12.41,9.06,0.225
ED,2024-02-27 15:34:33.653517,30380696000,12.2,7.21,0.12
STZ,2024-02-27 15:34:34.095156,45198586000,28.65,8.63,0.171
CPRT,2024-02-27 15:34:34.496162,49336668000,36.7,1.4,0.226
GLW,2024-02-27 15:34:34.891811,27746437000,47.81,0.68,0.0537
CTVA,2024-02-27 15:34:35.297555,38527885000,42.23,1.3,0.037
COST,2024-02-27 15:34:35.697053,330732667000,50.77,14.68,0.274
CTRA,2024-02-27 15:34:36.089220,19487873000,12.17,2.13,0.126
CCI,2024-02-27 15:34:36.491325,45996397000,30.62,3.46,0.217
CSX,2024-02-27 15:34:36.879137,74799587000,20.64,1.85,0.3
CMI,2024-02-27 15:34:37.271411,37445988000,51.26,5.15,0.0835
CVS,2024-02-27 15:34:38.694650,97152336000,11.93,6.47,0.113
DHI,2024-02-27 15:34:39.087514,48478466000,10.53,13.88,0.217
DHR,2024-02-27 15:34:39.505858,187765965000,44.85,5.66,0.0815
DRI,2024-02-27 15:34:40.017211,20244941000,20.53,8.26,0.497
DVA,2024-02-27 15:34:40.557621,10937328000,16.88,7.42,0.385
DE,2024-02-27 15:34:41.037482,101695169000,10.58,34.32,0.456
DAL,2024-02-27 15:34:41.555625,26839480000,5.82,7.17,0.521
XRAY,2024-02-27 15:34:41.987069,7184173000,None,-1.01,-0.0627
DVN,2024-02-27 15:34:42.473949,28113918000,7.48,5.87,0.336
DXCM,2024-02-27 15:34:42.868448,44785279000,89.36,1.3,0.258
FANG,2024-02-27 15:34:43.252366,31470914000,10.18,17.33,0.202
DLR,2024-02-27 15:34:43.669619,43840975000,45.95,3,0.0468
DFS,2024-02-27 15:34:44.065287,30557688000,10.83,11.26,0.202
DISCA,2024-02-27 15:34:44.468676,,,,
DISCK,2024-02-27 15:34:44.888167,,,,
DISH,2024-02-27 15:34:45.304189,,,,
DG,2024-02-27 15:34:45.717079,30463986000,15.97,8.69,0.306
DLTR,2024-02-27 15:34:46.124947,31759202000,27.61,5.28,0.135
D,2024-02-27 15:34:46.511807,40049103000,19.3,2.48,0.0772
DPZ,2024-02-27 15:34:46.916236,15126145000,29.68,14.61,0
DOV,2024-02-27 15:34:47.328053,22957097000,21.82,7.52,0.225
DOW,2024-02-27 15:34:47.747081,39595278000,68.76,0.82,0.0327
DTE,2024-02-27 15:34:48.178020,22389826000,16.04,6.76,0.13
DUK,2024-02-27 15:34:48.706139,69874016000,16.94,5.35,0.0849
DRE,2024-02-27 15:34:49.116296,,,,
DD,2024-02-27 15:34:49.533568,29214108000,64.18,1.09,0.0206
DXC,2024-02-27 15:34:49.927937,3965558000,None,-1.85,-0.115
EMN,2024-02-27 15:34:50.345505,10154950000,11.55,7.49,0.167
ETN,2024-02-27 15:34:50.723345,113520984000,35.45,8.02,0.178
EBAY,2024-02-27 15:34:51.136993,22773721000,8.81,4.98,0.506
ECL,2024-02-27 15:34:51.552762,63398027000,46.51,4.78,0.182
EIX,2024-02-27 15:34:52.821562,25590073000,21.4,3.11,0.0675
EW,2024-02-27 15:34:53.244391,51801993000,37.46,2.3,0.223
EA,2024-02-27 15:34:53.717440,38118765000,36.01,3.96,0.143
LLY,2024-02-27 15:34:54.149124,733450535000,133.32,5.79,0.484
EMR,2024-02-27 15:34:54.656626,60708823000,31.14,3.41,0.0894
ENPH,2024-02-27 15:34:55.067307,16269359000,38.91,3.08,0.485
ETR,2024-02-27 15:34:55.602800,21817022000,9.23,11.1,0.112
EOG,2024-02-27 15:34:56.020196,64989225000,8.62,13,0.287
EFX,2024-02-27 15:34:56.437999,32879329000,60.28,4.4,0.127
EQIX,2024-02-27 15:34:56.874714,83041632000,85.45,10.27,0.0807
EQR,2024-02-27 15:34:57.295059,22325365000,27.61,2.13,0.0746
ESS,2024-02-27 15:34:57.758112,15006567000,35.73,6.32,0.0746
EL,2024-02-27 15:34:58.182548,51985756000,112.42,1.29,0.0727
ETSY,2024-02-27 15:34:58.579434,8728047000,32.54,2.24,-12.24
RE,2024-02-27 15:34:58.958208,,,,
EVRG,2024-02-27 15:34:59.349690,11364298000,16.71,2.96,0.0715
ES,2024-02-27 15:34:59.787975,20106269000,None,-1.27,-0.029
EXC,2024-02-27 15:35:00.210846,35613577000,15.23,2.34,0.0922
EXPE,2024-02-27 15:35:00.595532,18576054000,25.62,5.32,0.211
EXPD,2024-02-27 15:35:01.058907,17167152000,23.81,5.01,0.273
EXR,2024-02-27 15:35:01.484889,30414086000,26.26,5.3,0.0858
XOM,2024-02-27 15:35:02.035761,413976756000,11.73,8.89,0.18
FFIV,2024-02-27 15:35:02.463273,10989703000,24.4,7.66,0.169
FB,2024-02-27 15:35:02.863895,,,,
FAST,2024-02-27 15:35:03.257059,41773011000,36.14,2.02,0.355
FRT,2024-02-27 15:35:05.925705,8145104000,34.79,2.8,0.0768
FDX,2024-02-27 15:35:08.183506,60239204000,14.29,16.87,0.169
FIS,2024-02-27 15:35:13.314208,39891948000,None,-27.76,-0.516
FITB,2024-02-27 15:35:14.627289,22661028000,10.33,3.22,0.129
FRC,2024-02-27 15:35:16.781700,,,,
FE,2024-02-27 15:35:17.691359,20955609000,18.61,1.96,0.111
FISV,2024-02-27 15:35:18.831477,,,,
FLT,2024-02-27 15:35:19.845683,20303792000,21.32,13.19,0.337
FMC,2024-02-27 15:35:20.585914,6554838000,4.645,11.31,0.362
F,2024-02-27 15:35:21.079782,48239870000,11.24,1.08,0.101
FTNT,2024-02-27 15:35:21.600156,51941433000,46.33,1.46,0.79
FTV,2024-02-27 15:35:22.031294,30142665000,35.37,2.43,0.0865
FBHS,2024-02-27 15:35:22.423895,,,,
FOXA,2024-02-27 15:35:22.825196,13502836000,17.33,1.71,0.0757
FOX,2024-02-27 15:35:23.218872,13502835000,15.92,1.71,0.0757
BEN,2024-02-27 15:35:23.636122,14222332000,14.22,1.9,0.0843
FCX,2024-02-27 15:35:24.051409,54550610000,29.71,1.28,0.144
GPS,2024-02-27 15:35:24.463744,7179327000,176,0.11,0.0175
GRMN,2024-02-27 15:35:24.862275,25987699000,20.2,6.71,0.195
IT,2024-02-27 15:35:25.297798,35940864000,41.53,11.1,1.943
GNRC,2024-02-27 15:35:25.667220,6797774000,34.49,3.27,0.092
GD,2024-02-27 15:35:26.131679,74802020000,22.73,12.01,0.166
GE,2024-02-27 15:35:26.531128,166873645000,19.24,7.97,0.284
GIS,2024-02-27 15:35:26.916182,36912849000,15.82,4.11,0.246
GM,2024-02-27 15:35:27.336433,45750059000,5.41,7.32,0.14
GPC,2024-02-27 15:35:27.782124,20639171000,15.85,9.33,0.32
GILD,2024-02-27 15:35:28.155017,91646247000,16.34,4.5,0.255
GPN,2024-02-27 15:35:28.547960,34397139000,35.37,3.77,0.0444
GL,2024-02-27 15:35:29.017583,11943664000,12.59,10.08,0.204
GS,2024-02-27 15:35:29.414774,127255429000,17.06,22.88,0.0725
HAL,2024-02-27 15:35:29.863959,31340491000,12.06,2.92,0.306
HBI,2024-02-27 15:35:30.243436,1706317000,None,-0.05,-0.0434
HAS,2024-02-27 15:35:30.643086,6881307000,None,-10.73,-0.753
HCA,2024-02-27 15:35:31.040127,82841092000,16.5,18.98,0.123
PEAK,2024-02-27 15:35:31.453433,9099486000,29.7,0.56,0.0471
HSIC,2024-02-27 15:35:31.925731,10376848000,23.63,3.38,0.0949
HES,2024-02-27 15:35:32.307045,46061568000,33.4,4.49,0.192
HPE,2024-02-27 15:35:32.707637,19495631000,9.74,1.54,0.0984
HLT,2024-02-27 15:35:33.121499,51191202000,46.99,4.32,0
HOLX,2024-02-27 15:35:33.534864,17560300000,35.45,2.11,0.106
HD,2024-02-27 15:35:33.943622,369829413000,24.61,15.1,0.116
HON,2024-02-27 15:35:34.330845,129908138000,23.52,8.47,0.336
HRL,2024-02-27 15:35:34.749743,16651278000,21,1.45,0.104
HST,2024-02-27 15:35:35.137529,14307900000,19.28,1.04,0.11
HWM,2024-02-27 15:35:35.579450,27026725000,35.99,1.83,0.2
HPQ,2024-02-27 15:35:36.014788,29116666000,9.01,3.26,0
HUM,2024-02-27 15:35:36.406015,43429048000,17.99,20.01,0.157
HBAN,2024-02-27 15:35:36.821447,18625780000,10.37,1.24,0.106
HII,2024-02-27 15:35:37.216984,11415186000,16.89,17.07,0.18
IBM,2024-02-27 15:35:37.632400,169584460000,22.79,8.15,0.337
IEX,2024-02-27 15:35:38.030342,17856688000,30.03,7.86,0.181
IDXX,2024-02-27 15:35:38.435871,47350157000,56.48,10.09,0.807
INFO,2024-02-27 15:35:38.834823,,,,
ITW,2024-02-27 15:35:39.236614,77726843000,26.73,9.73,0.969
ILMN,2024-02-27 15:35:39.680377,21764532000,None,-7.34,-0.188
INCY,2024-02-27 15:35:40.123833,13604030000,22.86,2.65,0.125
IR,2024-02-27 15:35:40.532906,36515004000,47.65,1.9,0.0822
INTC,2024-02-27 15:35:40.928156,181761720000,107.47,0.4,0.0157
ICE,2024-02-27 15:35:41.355858,79238603000,33.03,4.19,0.1
IFF,2024-02-27 15:35:41.757836,19761150000,None,-10.05,-0.158
IP,2024-02-27 15:35:42.151737,11706764000,39.3,0.86,0.0358
IPG,2024-02-27 15:35:42.561435,12225242000,11.33,2.85,0.288
INTU,2024-02-27 15:35:42.954728,185861276000,68.02,9.76,0.169
